庞龙电视台,#genre#
玉林新闻,http://39.135.32.28:6610/PLTV/77777777/224/3221225838/index.m3u8?servicetype=1
广西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls#http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000294203.m3u8#http ://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294203.m3u8#http://36.152.71.75/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
广西综艺,http://111.59.63.32:9901/tsfile/live/1004_1.m3u8
动物星球海外,http://livecdn.fptplay.net/qnetlive/animalplanet_2000.stream/chunklist.m3u8
CCTV1综合,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV2财经,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCT3综艺,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV4国际,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV5体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV6电影,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV7国防军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV8电视剧,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV9记录,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV10科教,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV12社会法,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV13新闻,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV17农业农村,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
金鹰纪实,http://111.12.102.68:6610/PLTV/77777777/224/3221225699/index.m3u8?
